gene_oid,Locus Tag,Gene Product Name,Genome ID,Genome Name,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Obsolete,Is Partial Gene,Add Date,Is Public,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,Enzyme,KO,IMG Term,Alt. Contact Email,Alt. Contact Name,Alt2. Contact Emails (GOLD),Alt2. Contact Names (GOLD),Altitude,Bioproject Accession,Biosample Accession,Biotic Relationships,Cell Arrangement,Cell Shape,Chlorophyll concentration,Clade,Contact Email,Contact Name,Culture Type,Cultured,Depth,Diseases,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Energy Source,Funding Program,Geographic Location,GOLD Sequencing Depth,GOLD Sequencing Quality,GOLD Sequencing Strategy,GPTS Proposal Id,Gram Staining,Habitat,HMP ID,Host Gender,Host Name,Isolation,Isolation Country,ITS PID,ITS Proposal Id,Latitude,Longhurst Code,Longhurst Description,Longitude,Medical Record Number,Metabolism,Motility,Nitrate Concentration,Oxygen concentration,Oxygen Requirement,pH,Phenotype,PMO Project ID,Pressure,Project / Study Name,Proportal Isolation,Proportal Ocean,Proportal Station,Proportal WOA Dissolved Oxygen,Proportal WOA Nitrate,Proportal WOA Phosphate,Proportal WOA Salinity,Proportal WOA Silicate,Proportal WOA Temperature,Relevance,Replicate,Salinity,Salinity Concentration,Sample Body Site,Sample Body Subsite,Sample Collection Date ,Sample Collection Temperature,Seq Status,Sequencing Method,Specific Ecosystem,Sporulation,Temperature Range,Type Strain,Uncultured Type,Visits
2526024069,H978DRAFT_3863,"two-component system, OmpR family, response regulator",2524614846,Alteromonas sp. ALT199,,,,4431489,4432178,-,690,229,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,"COG0745 - DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain<br/><br/>",pfam00072 - Response_reg<br/><br/>pfam00486 - Trans_reg_C<br/><br/>,TIGR03787 - proteobacterial dedicated sortase system response regulator<br/><br/>,,"KO:K02483 - K02483; two-component system, OmpR family, response regulator<br/><br/>",,_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526024137,H978DRAFT_3931,phytochrome sensor hybrid histidine kinase (EC 2.7.13.3),2524614846,Alteromonas sp. ALT199,,,,4506695,4509415,+,2721,906,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,COG4251 - Bacteriophytochrome (light-regulated signal transduction histidine kinase)<br/><br/>,pfam02518 - HATPase_c<br/><br/>pfam08446 - PAS_2<br/><br/>pfam00360 - PHY<br/><br/>pfam00072 - Response_reg<br/><br/>pfam01590 - GAF<br/><br/>pfam00512 - HisKA<br/><br/>,,,,,_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526022976,H978DRAFT_2770,Signal transduction histidine kinase,2524614846,Alteromonas sp. ALT199,,,,3197797,3199608,-,1812,603,CDS,No,No,,5/22/13,Yes,5,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,COG0642 - Signal transduction histidine kinase<br/><br/>,pfam02518 - HATPase_c<br/><br/>pfam00072 - Response_reg<br/><br/>pfam00512 - HisKA<br/><br/>,,,,,_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526021962,H978DRAFT_1756,Signal transduction histidine kinase,2524614846,Alteromonas sp. ALT199,,,,2006327,2008414,+,2088,695,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,COG0642 - Signal transduction histidine kinase<br/><br/>,pfam00512 - HisKA<br/><br/>pfam00072 - Response_reg<br/><br/>pfam02518 - HATPase_c<br/><br/>,,,,,_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526023883,H978DRAFT_3677,Signal transduction histidine kinase,2524614846,Alteromonas sp. ALT199,,,,4213613,4215538,+,1926,641,CDS,No,No,,5/22/13,Yes,1,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,COG0642 - Signal transduction histidine kinase<br/><br/>,pfam00672 - HAMP<br/><br/>pfam02518 - HATPase_c<br/><br/>pfam00512 - HisKA<br/><br/>pfam00072 - Response_reg<br/><br/>,,,,,_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526021052,H978DRAFT_0846,"two component transcriptional regulator, LuxR family",2524614846,Alteromonas sp. ALT199,,,,978991,979659,+,669,222,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,"COG2197 - DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains<br/><br/>",pfam00072 - Response_reg<br/><br/>pfam00196 - GerE<br/><br/>,,,,"2289 - two component transcriptional regulator, LuxR family<br/><br/>",_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526021628,H978DRAFT_1422,"two component transcriptional regulator, LytTR family",2524614846,Alteromonas sp. ALT199,,,,1639983,1640810,+,828,275,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,"COG3279 - DNA-binding response regulator, LytR/AlgR family<br/><br/>",pfam00072 - Response_reg<br/><br/>pfam04397 - LytTR<br/><br/>,,,"KO:K02477 - K02477; two-component system, LytT family, response regulator<br/><br/>","2295 - two component transcriptional regulator, LytTR family<br/><br/>",_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526020767,H978DRAFT_0561,"two component transcriptional regulator, LytTR family",2524614846,Alteromonas sp. ALT199,,,,660460,661188,-,729,242,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,"COG3279 - DNA-binding response regulator, LytR/AlgR family<br/><br/>",pfam00072 - Response_reg<br/><br/>pfam04397 - LytTR<br/><br/>,,,"KO:K02477 - K02477; two-component system, LytT family, response regulator<br/><br/>","2295 - two component transcriptional regulator, LytTR family<br/><br/>",_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526024156,H978DRAFT_3950,PAS domain S-box-containing protein,2524614846,Alteromonas sp. ALT199,,,,4531148,4533256,+,2109,702,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,COG0642 - Signal transduction histidine kinase<br/><br/>,pfam00512 - HisKA<br/><br/>pfam08447 - PAS_3<br/><br/>pfam01590 - GAF<br/><br/>pfam02518 - HATPase_c<br/><br/>pfam00072 - Response_reg<br/><br/>,TIGR00229 - PAS domain S-box<br/><br/>,,,,_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
2526022554,H978DRAFT_2348,Signal transduction histidine kinase,2524614846,Alteromonas sp. ALT199,,,,2707512,2709128,+,1617,538,CDS,No,No,,5/22/13,Yes,,,2524708356,H978DRAFT_scaffold00001.1,Alteromonas sp. ALT199 : H978DRAFT_scaffold00001.1,4635666,0.44,1,COG0642 - Signal transduction histidine kinase<br/><br/>,pfam02518 - HATPase_c<br/><br/>pfam00512 - HisKA<br/><br/>pfam00072 - Response_reg<br/><br/>pfam01590 - GAF<br/><br/>,,,,,_,_,bpedler@gmail.com; fazam@ucsd.edu,Byron Pedler; Farooq Azam,_,PRJNA190838,SAMN02849407,_,_,_,_,_,bpedler@gmail.com,Byron Pedler,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Unknown,Level 3: Improved-High-Quality Draft,Whole Genome Sequencing,300857,Gram-,_,_,_,_,_,_,1015920,802,_,_,_,_,_,_,_,_,_,_,_,_,408466,_,Alteromonas sp. ALT199,_,_,_,_,_,_,_,_,_,Comparative analysis,_,_,_,_,_,_,_,Complete,"Illumina HiSeq 2000, Illumina HiSeq 2500",_,_,_,Unknown,_,_
