Genome Name,org_type_y,ratio,HPK,rr,his_kin_per_100,Genome Size   * assembled,Gene Count   * assembled,hpkper,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,lifestyle_color,order_color
Synechococcus sp. WH8102,o,0.9,10,9,0.386398764,2434428,2588,0.386398764,2,637000314,Bacteria,Finished,Synechococcus sp. WH8102,DOE Joint Genome Institute (JGI),637000314,Cyanobacteria,Synechococcales,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,,"Aquatic, Marine",#fdae61,#3288bd
Synechococcus sp. WH7805,o,0.866666667,15,13,0.51072523,2620367,2937,0.51072523,,638341215,Bacteria,Permanent Draft,Synechococcus sp. WH7805,J. Craig Venter Institute (JCVI),638341215,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7805,Environmental,Aquatic,Pelagic,Marine,,Marine,#abdda4,#66c2a5
Synechococcus sp. WH5701,o,0.928571429,14,13,0.411401704,3043834,3403,0.411401704,,638341214,Bacteria,Permanent Draft,Synechococcus sp. WH5701,J. Craig Venter Institute (JCVI),638341214,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 5701,Environmental,Aquatic,Pelagic,Marine,,Marine,#abdda4,#3288bd
Synechococcus sp. WH 8109,o,0.777777778,9,7,0.333827893,2111515,2696,0.333827893,,2563366603,Bacteria,Finished,Synechococcus sp. WH 8109,J. Craig Venter Institute (JCVI),2563366603,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8109,Environmental,Aquatic,Pelagic,Marine,,"Aquatic, Marine",#abdda4,#3288bd
Synechococcus sp. WH 8016,o,1,14,14,0.459619173,2706690,3046,0.459619173,,2507262052,Bacteria,Permanent Draft,Synechococcus genomes and the evolution of genome size,DOE Joint Genome Institute (JGI),2507262052,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8016,Environmental,Aquatic,Intertidal zone,Marine,,Marine,#abdda4,#3288bd
Synechococcus sp. RS9916,o,0.857142857,14,12,0.465116279,2664465,3010,0.465116279,29,639857007,Bacteria,Permanent Draft,Synechococcus sp. RS9916,J. Craig Venter Institute (JCVI),639857007,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. RS9916,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Red Sea",#abdda4,#3288bd
Synechococcus sp. CC9902,o,0.7,10,7,0.414937759,2234828,2410,0.414937759,10,637000311,Bacteria,Finished,Synechococcus,DOE Joint Genome Institute (JGI),637000311,Cyanobacteria,Synechococcales,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,,Marine,,
Synechococcus sp. CC9616,o,0.923076923,13,12,0.439486139,2645910,2958,0.439486139,8,2517093019,Bacteria,Permanent Draft,Synechococcus genomes and the evolution of genome size,DOE Joint Genome Institute (JGI),2517093019,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9616,Environmental,Aquatic,Pelagic,Marine,,,#abdda4,#5e4fa2
Synechococcus sp. CC9605,o,0.9,10,9,0.362318841,2510659,2760,0.362318841,9,637000310,Bacteria,Finished,Synechococcus,DOE Joint Genome Institute (JGI),637000310,Cyanobacteria,Synechococcales,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,,Marine,#abdda4,#3288bd
Synechococcus sp. CC9311,o,1,16,16,0.542189088,2606748,2951,0.542189088,,637000309,Bacteria,Finished,Prochlorococcus sp. CC9311,J. Craig Venter Institute (JCVI),637000309,Cyanobacteria,Synechococcales,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9311,Environmental,Aquatic,Pelagic,Marine,,Marine,#abdda4,#5e4fa2
