,taxon_oid,Domain,Status,Study Name,Genome Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,High Quality,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Isolation,Type Strain,Uncultured Type,Genome Size   * assembled,Gene Count   * assembled,pfam00072,pfam00183,pfam00204,pfam00512,pfam02518,pfam07536,pfam07568,pfam07730,pfam13581,pfam13589,pfam13941,pfam14501,hamp_hk,ratio,hybrid,percent_hybrid
58,2517572146,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acaricomes phytoseiuli DSM 14247,DOE Joint Genome Institute (JGI),2517572146,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes,Acaricomes phytoseiuli,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,Predatory mite,Yes,,2419519,2387,14,0,2,6,12,0,1,4,0,0,0,0,11,1.272727273,,0
253,641228474,Bacteria,Finished,Acaryochloris marina MBIC11017,Acaryochloris marina MBIC11017,Washington University in St. Louis,641228474,Cyanobacteria,unclassified,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,Yes,Host-associated,Animal,Unclassified,Unclassified,Marine,Prochloron-dominated colonial ascidian Lissoclinum patella off the tropical coast of the Palau islands,Unknown,,8361599,8488,148,1,1,76,90,1,0,4,3,3,0,0,94,1.574468085,3,11.53846154
607,2513237397,Bacteria,Permanent Draft,Acaryochloris sp CCMEE 5410,Acaryochloris sp CCMEE 5410,J. Craig Venter Institute (JCVI),2513237397,Cyanobacteria,unclassified,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris sp. CCMEE 5410,Yes,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,"Aquatic, Marine",Shallow waters from Salton Sea California,Unknown,,7875477,7587,146,1,2,82,99,1,2,2,3,3,0,0,104,1.403846154,,0
113,2522572157,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acetobacter nitrogenifigens DSM 23921,DOE Joint Genome Institute (JGI),2522572157,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter nitrogenifigens,Yes,Host-associated,Plants,Unclassified,Unclassified,"Aquatic, Plants",Kombucha tea,Yes,,4270516,3901,29,1,2,12,20,2,1,1,1,2,0,0,21,1.380952381,,0
242,648028002,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Acetohalobium arabaticum Z-7288, DSM 5501",DOE Joint Genome Institute (JGI),648028002,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum,Yes,Environmental,Aquatic,Unclassified,Unclassified,Aquatic,"Lagoons from East Crimea, Arabat spit, USSR",Yes,,2469596,2438,13,1,2,7,16,0,0,1,3,3,1,0,18,0.722222222,,0
1,2509601011,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Acetomicrobium mobile DSM 13181,DOE Joint Genome Institute (JGI),2509601011,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,Acetomicrobium mobile,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Aquatic, Wastewater",Anaerobic wool-scouring wastewater treatment lagoon,Yes,,2160700,2109,9,0,1,2,7,0,0,2,1,0,0,0,7,1.285714286,,0
59,2523533587,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acholeplasma axanthum ATCC 25176,DOE Joint Genome Institute (JGI),2523533587,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma axanthum,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,Murine leukemia tissue culture,Yes,,1807123,1720,7,0,2,3,5,0,0,0,0,1,0,4,8,0.875,,0
568,2556921630,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acholeplasma equifetale ATCC 29724,DOE Joint Genome Institute (JGI),2556921630,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma equifetale,Yes,Host-associated,Animal,Unclassified,Respiratory system,Host,lung of aborted horse fetus,Yes,,1282372,1214,1,0,2,1,3,0,0,0,0,2,0,0,3,0.333333333,,0
569,2545824542,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acholeplasma granularum ATCC 19168,DOE Joint Genome Institute (JGI),2545824542,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma granularum,Yes,Host-associated,Animal,Unclassified,Respiratory system,"Host, Pig",Nasal cavity of pig,Yes,,1453539,1398,3,0,2,2,4,0,0,0,0,1,0,1,4,0.75,,0
570,2561511033,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acholeplasma hippikon ATCC 29725,DOE Joint Genome Institute (JGI),2561511033,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma hippikon,Yes,Host-associated,Animal,Unclassified,Respiratory system,Host,lung of aborted horse fetus,Yes,,1430451,1402,5,0,2,1,3,0,0,0,0,1,0,2,4,1.25,,0
60,2558860159,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acholeplasma modicum ATCC 29102,DOE Joint Genome Institute (JGI),2558860159,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma modicum,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,"Tissue, animal",Yes,,1221086,1174,3,0,2,2,5,0,0,0,0,1,0,0,4,0.75,,0
553,2534682370,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Acholeplasma multilocale ATCC 49900,DOE Joint Genome Institute (JGI),2534682370,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma multilocale,Yes,Host-associated,Mammals,Nasopharyngeal,Respiratory system,Host,nasopharynx of horse,Yes,,930509,881,0,0,2,0,2,0,0,0,0,0,0,0,0,,1,9.090909091
1061,646311901,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Acidaminococcus fermentans VR4, DSM 20731",DOE Joint Genome Institute (JGI),646311901,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Yes,Host-associated,Animal,Unclassified,Digestive system,"Host, Pig",Pig gut,Yes,,2329769,2174,9,0,1,7,8,0,0,0,1,1,0,1,10,0.9,,0
