,Unnamed: 0,Unnamed: 0.1,Genome Name,HPK,RR,Hybrid,hpkper100,% Hybrid,RR:HPK Ratio,Genome Size,Gene Count,taxon_oid,Domain,Status,Study Name,Sequencing Center,Phylum,Class,CyanoClass,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Ratio_no_RR_Hybrid,org_type_y,ForColors,lifestyle_color,order_color,Unnamed: 5,Unnamed: 6,Unnamed: 7,7.44E-10
179,390,439,Zooshikella ganghwensis DSM 15267,48,51,17,0.891033971,35.41666667,1.0625,5798664,5387,2524614643,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Oceanospirillales,Hahellaceae,Zooshikella,Zooshikella ganghwensis,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Marine, Sediment",1.0625,,Gammaproteobacteria,,,0.554532623,,,
242,389,438,Yoonia vestfoldensis SKA53,17,20,3,0.545396214,17.64705882,1.176470588,3063691,3117,638341119,Bacteria,Permanent Draft,Loktanella vestfoldensis SKA53,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Yoonia,Yoonia vestfoldensis,Environmental,Aquatic,Unclassified,Marine,,,1.176470588,,Alphaproteobacteria,,,,,,
241,388,437,Woodsholea maritima DSM 17123,34,40,7,1.149425287,20.58823529,1.176470588,3105947,2958,2522125070,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Caulobacterales,Hyphomonadaceae,Woodsholea,Woodsholea maritima,Environmental,Aquatic,Intertidal zone,Marine,,,1.176470588,,Alphaproteobacteria,,,,,,
68,387,436,Wenxinia marina DSM 24838,33,28,2,0.804093567,6.060606061,0.848484848,4175892,4104,2515154190,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Wenxinia,Wenxinia marina,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Oil fields, Sediment",0.848484848,,Alphaproteobacteria,,,,,,
124,386,435,Vibrio splendidus 12B01,55,54,18,1.028806584,32.72727273,0.981818182,5596386,5346,638341231,Bacteria,Permanent Draft,Vibrio splendidus 12B01,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus,Environmental,Aquatic,Unclassified,Marine,,,0.981818182,,Gammaproteobacteria,,,,,,
190,385,434,Vibrio sp. MED222,48,52,18,1.014155926,37.5,1.083333333,4891901,4733,638341230,Bacteria,Permanent Draft,Vibrio sp. MED222,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. MED222,Environmental,Aquatic,Unclassified,Marine,,,1.083333333,,Gammaproteobacteria,#3288bd,#3288bd,,,,
169,384,433,Vibrio parahaemolyticus 16,47,49,17,1.136363636,36.17021277,1.042553191,4535833,4136,647533245,Bacteria,Permanent Draft,Vibrio parahaemolyticus 16,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. 16,Environmental,Aquatic,Unclassified,Marine,,,1.042553191,,Gammaproteobacteria,#3288bd,#5e4fa2,,,,
119,383,432,Vibrio pacinii DSM 19139,44,43,19,1.109709962,43.18181818,0.977272727,4306556,3965,2565956518,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Vibrionales,Vibrionaceae,Vibrio,Vibrio pacinii,Host-associated,Unclassified,Unclassified,Unclassified,,"Aquatic, Host, Marine",0.977272727,,Gammaproteobacteria,,,,,,
175,382,431,Vibrio litoralis DSM 17657,19,20,4,0.529247911,21.05263158,1.052631579,3825715,3590,2524614821,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Vibrionales,Vibrionaceae,Vibrio,Vibrio litoralis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",1.052631579,,Gammaproteobacteria,,,,,,
301,381,430,Vibrio campbellii AND4,30,38,16,0.743678731,53.33333333,1.266666667,4255798,4034,641380451,Bacteria,Permanent Draft,Vibrio campbellii AND4,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. AND4,Environmental,Aquatic,Unclassified,Marine,,,1.266666667,,Gammaproteobacteria,#3288bd,#3288bd,,,,
