,Genome Name,HPK,RR,Hybrid,% Hybrid,RR:HPK Ratio,Genome Size   * assembled,Gene Count   * assembled,taxon_oid,Domain,Status,Study Name,Sequencing Center,Phylum,Class,Order,Family,Genus,Species,Ecosystem*,Ecosystem Category*,Ecosystem Subtype*,Ecosystem Type*,Ecotype*,Habitat*
0,Acaricomes phytoseiuli DSM 14247,13.0,14.0,,,1.076923077,2419519,2387,2517572146,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes,Acaricomes phytoseiuli,Host-associated,Unclassified,Unclassified,Unclassified,,Host
1,Acaryochloris marina MBIC11017,98.0,100.0,48.0,48.97959184,1.020408163,8361599,8488,641228474,Bacteria,Finished,Acaryochloris marina MBIC11017,Washington University in St. Louis,Cyanobacteria,unclassified,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,Host-associated,Animal,Unclassified,Unclassified,,Marine
2,Acaryochloris sp CCMEE 5410,105.0,98.0,48.0,45.71428571,0.933333333,7875477,7587,2513237397,Bacteria,Permanent Draft,Acaryochloris sp CCMEE 5410,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris sp. CCMEE 5410,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,,"Aquatic, Marine"
3,Acetobacter nitrogenifigens DSM 23921,24.0,25.0,4.0,16.66666667,1.041666667,4270516,3901,2522572157,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter nitrogenifigens,Host-associated,Plants,Unclassified,Unclassified,,"Aquatic, Plants"
4,"Acetohalobium arabaticum Z-7288, DSM 5501",19.0,13.0,,,0.684210526,2469596,2438,648028002,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum,Environmental,Aquatic,Unclassified,Unclassified,,Aquatic
5,Acetomicrobium mobile DSM 13181,7.0,9.0,,,1.285714286,2160700,2109,2509601011,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,Acetomicrobium mobile,Engineered,Wastewater,Unclassified,Unclassified,,"Aquatic, Wastewater"
6,Acholeplasma axanthum ATCC 25176,8.0,7.0,,,0.875,1807123,1720,2523533587,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma axanthum,Host-associated,Unclassified,Unclassified,Unclassified,,Host
7,Acholeplasma equifetale ATCC 29724,3.0,1.0,,,0.333333333,1282372,1214,2556921630,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma equifetale,Host-associated,Animal,Unclassified,Respiratory system,,Host
8,Acholeplasma granularum ATCC 19168,4.0,3.0,,,0.75,1453539,1398,2545824542,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma granularum,Host-associated,Animal,Unclassified,Respiratory system,,"Host, Pig"
9,Acholeplasma hippikon ATCC 29725,4.0,5.0,,,1.25,1430451,1402,2561511033,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma hippikon,Host-associated,Animal,Unclassified,Respiratory system,,Host
10,Acholeplasma modicum ATCC 29102,4.0,3.0,,,0.75,1221086,1174,2558860159,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma modicum,Host-associated,Unclassified,Unclassified,Unclassified,,Host
11,"Acidaminococcus fermentans VR4, DSM 20731",10.0,9.0,,,0.9,2329769,2174,646311901,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Host-associated,Animal,Unclassified,Digestive system,,"Host, Pig"
12,Acidaminococcus intestini DSM 21505,9.0,6.0,1.0,11.11111111,0.666666667,2282467,2265,2524614855,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Host-associated,Human,Unclassified,Unclassified,,"Host, Human"
13,"Acidimicrobium ferrooxidans ICP, DSM 10331",11.0,15.0,,,1.363636364,2158157,2092,644736322,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,Environmental,Aquatic,Unclassified,Thermal springs,,"Aquatic, Fresh water, Hot spring"
14,Acidiphilium angustum ATCC 35903,25.0,25.0,6.0,24.0,1.0,4175408,4012,2561511102,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium angustum,Environmental,Terrestrial,Mine,Geologic,,Acid mine
15,Acidipropionibacterium acidipropionici DSM 4900,24.0,22.0,,,0.916666667,3591078,3372,2513237117,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,Engineered,Food production,Unclassified,Dairy products,,Dairy isolates
16,Acidipropionibacterium jensenii DSM 20535,20.0,21.0,,,1.05,3028354,2781,2523533551,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium jensenii,Engineered,Food production,Unclassified,Dairy products,,Dairy isolates
17,Acidipropionibacterium thoenii DSM 20276,24.0,25.0,,,1.041666667,2938072,2702,2523231069,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium thoenii,Engineered,Food production,Unclassified,Dairy products,,Cheese
18,Acidocella facilis ATCC 35904,28.0,27.0,10.0,35.71428571,0.9642857140000001,3403931,3263,2556921625,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Acidocella facilis,Environmental,Terrestrial,Mine,Geologic,,Mine
19,Acidovorax oryzae ATCC 19882,68.0,62.0,19.0,27.94117647,0.9117647059999999,5528784,4932,2563366540,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax oryzae,Environmental,Terrestrial,Unclassified,Agricultural field,,"Plants, Rice paddies"
20,Acinetobacter baylyi DSM 14961,18.0,18.0,4.0,22.22222222,1.0,3606029,3383,2556921654,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baylyi,Engineered,Wastewater,Unclassified,Unclassified,,Sludge
21,Acinetobacter bouvetii DSM 14964,18.0,19.0,3.0,16.66666667,1.0555555559999998,3356470,3207,2517093005,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bouvetii,Engineered,Wastewater,Unclassified,Unclassified,,Wastewater treatment plant
22,Acinetobacter tandoii DSM 14970,17.0,19.0,3.0,17.64705882,1.117647059,4053859,4046,2556921011,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tandoii,Engineered,Wastewater,Unclassified,Unclassified,,"Sludge, Wastewater"
23,Acinetobacter tjernbergiae DSM 14971,22.0,23.0,3.0,13.63636364,1.045454545,3692377,3571,2517572243,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter tjernbergiae,Engineered,Wastewater,Unclassified,Unclassified,,Sludge
24,Acinetobacter towneri DSM 14962,18.0,17.0,3.0,16.66666667,0.944444444,2854510,2826,2556921621,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter towneri,Engineered,Wastewater,Unclassified,Unclassified,,"Sludge, Wastewater"
25,Actinoalloteichus cyanogriseus DSM 43889,38.0,37.0,,,0.9736842109999999,5968963,4992,2524614639,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus cyanogriseus,Environmental,Terrestrial,Unclassified,Soil,,Soil
26,Actinobacillus capsulatus DSM 19761,6.0,5.0,1.0,16.66666667,0.833333333,2621135,2604,2519899771,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus capsulatus,Host-associated,Mammals,,,,Host
27,Actinokineospora enzanensis DSM 44649,103.0,90.0,5.0,4.854368932,0.873786408,8119858,7409,2518285603,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,Actinokineospora enzanensis,Environmental,Terrestrial,Unclassified,Soil,,Soil
28,Actinokineospora inagensis DSM 44258,83.0,69.0,5.0,6.024096386,0.8313253009999999,7278759,6453,2528768220,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,Actinokineospora inagensis,Host-associated,Plants,Unclassified,Unclassified,,Plants
29,Actinomadura atramentaria DSM 43919,99.0,68.0,2.0,2.02020202,0.686868687,6712350,6346,2519899649,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura atramentaria,Environmental,Terrestrial,Unclassified,Soil,,Soil
30,Actinomadura flavalba DSM 45200,97.0,59.0,2.0,2.06185567,0.608247423,6169406,5741,2518645623,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura flavalba,Host-associated,Plants,Unclassified,Unclassified,,Plants
31,Actinomadura oligospora ATCC 43269,154.0,104.0,1.0,0.649350649,0.675324675,9355686,8366,2540341222,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura oligospora,Environmental,Terrestrial,Unclassified,Soil,,Soil
32,Actinomadura rifamycini DSM 43936,140.0,93.0,1.0,0.7142857140000001,0.664285714,8387248,7706,2523533532,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura rifamycini,Environmental,Terrestrial,Unclassified,Soil,,Soil
33,Actinomyces dentalis DSM 19115,36.0,37.0,,,1.027777778,3533300,2975,2523533597,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,Host-associated,Human,Unclassified,Skin,,"Host, Human"
34,Actinomyces georgiae DSM 6843,15.0,15.0,,,1.0,2500649,2167,2523231019,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces georgiae,Host-associated,Human,Oral,Digestive system,,"Host, Human"
35,Actinomyces gerencseriae DSM 6844,33.0,35.0,,,1.0606060609999999,3420019,2893,2524023137,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces gerencseriae,Host-associated,Human,Unclassified,Skin,,"Host, Human"
36,Actinomyces israelii DSM 43320,30.0,38.0,,,1.266666667,4027570,3411,2565956542,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii,Host-associated,Human,Unclassified,Skin,,"Host, Human"
37,Actinomyces neuii neuii DSM 8576,12.0,13.0,,,1.083333333,2270293,2068,2524023166,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces neuii,Host-associated,Human,Unclassified,Unclassified,,"Host, Human"
38,Actinomyces slackii ATCC 49928,26.0,26.0,,,1.0,3172712,2673,2524614860,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces slackii,Host-associated,Animal,Unclassified,Digestive system,,Host
39,Actinomyces suimastitidis DSM 15538,11.0,13.0,,,1.181818182,2294128,2011,2523231055,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces suimastitidis,Host-associated,Animal,Unclassified,Skin,,"Host, Pig"
40,Actinomyces vaccimaxillae DSM 15804,12.0,14.0,,,1.166666667,2338426,2102,2523533527,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces vaccimaxillae,Host-associated,Mammals,Unclassified,Unclassified,,"Bovine, Host"
41,Actinomycetospora chiangmaiensis DSM 45062,45.0,43.0,1.0,2.222222222,0.955555556,5861079,5756,2515154015,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora chiangmaiensis,Environmental,Terrestrial,Unclassified,Soil,,Soil
42,Actinoplanes globisporus DSM 43857,164.0,132.0,19.0,11.58536585,0.804878049,10988507,10116,2515154017,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes globisporus,Environmental,Terrestrial,Unclassified,Soil,,Soil
43,Actinopolymorpha alba DSM 45243,72.0,73.0,2.0,2.777777778,1.013888889,7985436,7546,2515154155,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Actinopolymorpha,Actinopolymorpha alba,Host-associated,Plants,Unclassified,Rhizoplane,,"Rhizosphere, Soil"
44,Actinopolyspora halophila DSM 43834,32.0,35.0,,,1.09375,5353291,4973,2517287026,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora halophila,Engineered,Food production,Unclassified,Dairy products,,
45,"Actinopolyspora mortivallis HS-1, DSM 44261",21.0,21.0,,,1.0,4233350,3981,2516493031,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora mortivallis,Environmental,Terrestrial,Unclassified,Soil,,Soil
46,Actinospica robiniae DSM 44927,95.0,66.0,6.0,6.315789474,0.6947368420000001,9918887,8726,2510065062,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Actinospica robiniae,Environmental,Terrestrial,Unclassified,Soil,,Soil
47,"Actinosynnema mirum 101, DSM 43827",100.0,82.0,5.0,5.0,0.82,8248144,7176,644736323,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema mirum,Host-associated,Plants,Unclassified,Unclassified,,Plants
